Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Cura_Appointment_Flow,Chrome 143.0.7499.171,,,23-01-2026 20:33:35,23-01-2026 20:34:07,31.731s,PASSED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 143.0.7499.171,,,23-01-2026 20:33:35,23-01-2026 20:33:43,8.004s,PASSED
,,,,,,,
Test Cases/Login,Chrome 143.0.7499.171,,,23-01-2026 20:33:44,23-01-2026 20:33:50,5.688s,PASSED
"waitForElementVisible(findTestObject(""Cura/Home/btn_MakeAppointment""), 10)",Chrome 143.0.7499.171,,,23-01-2026 20:33:44,23-01-2026 20:33:45,0.507s,PASSED
"click(findTestObject(""Cura/Home/btn_MakeAppointment""))",Chrome 143.0.7499.171,,,23-01-2026 20:33:45,23-01-2026 20:33:46,1.024s,PASSED
"waitForElementVisible(findTestObject(""Cura/Login/txtUsername""), 10)",Chrome 143.0.7499.171,,,23-01-2026 20:33:46,23-01-2026 20:33:46,0.405s,PASSED
"setText(findTestObject(""Cura/Login/txtUsername""), ""John Doe"")",Chrome 143.0.7499.171,,,23-01-2026 20:33:46,23-01-2026 20:33:47,0.958s,PASSED
"setText(findTestObject(""Cura/Login/txtPassword""), ""ThisIsNotAPassword"")",Chrome 143.0.7499.171,,,23-01-2026 20:33:47,23-01-2026 20:33:48,0.903s,PASSED
"click(findTestObject(""Cura/Login/btnLogin""))",Chrome 143.0.7499.171,,,23-01-2026 20:33:48,23-01-2026 20:33:49,1.210s,PASSED
"waitForElementVisible(findTestObject(""Cura/Appointment/lbl_MakeAppointment""), 10)",Chrome 143.0.7499.171,,,23-01-2026 20:33:49,23-01-2026 20:33:50,0.522s,PASSED
,,,,,,,
Test Cases/Appointment,Chrome 143.0.7499.171,,,23-01-2026 20:33:50,23-01-2026 20:34:01,11.133s,PASSED
"SmartWait.waitVisible(findTestObject(""Cura/Appointment/lbl_MakeAppointment""), 20)",Chrome 143.0.7499.171,,,23-01-2026 20:33:50,23-01-2026 20:33:50,0.315s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/sel_Facility""), 15)",Chrome 143.0.7499.171,,,23-01-2026 20:33:50,23-01-2026 20:33:51,1.203s,PASSED
"selectOptionByLabel(findTestObject(""Cura/Appointment/sel_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 143.0.7499.171,,,23-01-2026 20:33:51,23-01-2026 20:33:52,0.693s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/chk_HospitalReadmission""), 10)",Chrome 143.0.7499.171,,,23-01-2026 20:33:52,23-01-2026 20:33:53,1.035s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/rad_Medicaid""), 10)",Chrome 143.0.7499.171,,,23-01-2026 20:33:53,23-01-2026 20:33:54,1.093s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/txt_VisitDate""), 20)",Chrome 143.0.7499.171,,,23-01-2026 20:33:54,23-01-2026 20:33:55,1.090s,PASSED
