Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Cura_Appointment_Flow,,,,22-01-2026 23:21:53,22-01-2026 23:21:56,2.843s,ERROR
,,,,,,,
Start listener action : beforeSuite,,,,22-01-2026 23:21:53,22-01-2026 23:21:53,0.120s,ERROR
,,,,,,,
Test Cases/Login,,,,22-01-2026 23:21:54,22-01-2026 23:21:54,0.054s,ERROR
core.BaseTest.setup(false),,,,22-01-2026 23:21:54,22-01-2026 23:21:54,0.018s,ERROR
,,,,,,,
Test Cases/Appointment,,,,22-01-2026 23:21:55,22-01-2026 23:21:55,0.045s,ERROR
"selectOptionByValue(findTestObject(""Object Repository/Cura/Appointment/sel_Facility""), ""Hongkong CURA Healthcare Center"", false)",,,,22-01-2026 23:21:55,22-01-2026 23:21:55,0.007s,ERROR
,,,,,,,
Test Cases/Summary,,,,22-01-2026 23:21:55,22-01-2026 23:21:55,0.047s,ERROR
"waitForElementVisible(findTestObject(""Object Repository/Cura/Summary/lbl_Confirm_Title""), 10)",,,,22-01-2026 23:21:55,22-01-2026 23:21:55,0.019s,ERROR
,,,,,,,
Test Cases/Logout,,,,22-01-2026 23:21:55,22-01-2026 23:21:56,0.058s,ERROR
components.SideMenu.logout(),,,,22-01-2026 23:21:55,22-01-2026 23:21:56,0.023s,ERROR
,,,,,,,
Start listener action : afterSuite,,,,22-01-2026 23:21:56,22-01-2026 23:21:56,0.013s,ERROR
