Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Cura_Appointment_Flow,,,,22-01-2026 22:56:09,22-01-2026 22:56:11,2.431s,ERROR
,,,,,,,
Test Cases/Login,,,,22-01-2026 22:56:10,22-01-2026 22:56:10,0.046s,ERROR
core.BaseTest.setup(false),,,,22-01-2026 22:56:10,22-01-2026 22:56:10,0.008s,ERROR
,,,,,,,
Test Cases/Appointment,,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.039s,ERROR
"selectOptionByValue(findTestObject(""Object Repository/Cura/Appointment/sel_Facility""), ""Hongkong CURA Healthcare Center"", false)",,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.014s,ERROR
,,,,,,,
Test Cases/Summary,,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.035s,ERROR
"waitForElementVisible(findTestObject(""Object Repository/Cura/Summary/lbl_Confirm_Title""), 10)",,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.012s,ERROR
,,,,,,,
Test Cases/Logout,,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.039s,ERROR
components.SideMenu.logout(),,,,22-01-2026 22:56:11,22-01-2026 22:56:11,0.015s,ERROR
